Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02.mzML	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03.mzML
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	1.72679e+06	1.67687e+06	2.08804e+06	2.05804e+06	1.86014e+06	1.94237e+06
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	2.31777e+06	2.33954e+06	2.42372e+06	2.12642e+06	2.33756e+06	2.1018e+06
O15119	TBX3_HUMAN	TBX3	T-box transcription factor TBX3	3.20788e+06	3.43438e+06	3.65315e+06	3.29524e+06	3.32369e+06	3.55212e+06
O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	3.54663e+06	3.68176e+06	3.8984e+06	3.55074e+06	3.48358e+06	3.70602e+06
O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	2.28648e+06	2.35403e+06	2.45955e+06	2.05591e+06	2.37587e+06	2.47423e+06
O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	1.25029e+06	1.26889e+06	1.55089e+06	1.29089e+06	1.33967e+06	1.22744e+06
O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	1.35634e+07	1.33368e+07	1.41979e+07	1.24269e+07	1.34629e+07	1.3544e+07
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	1.2143e+07	1.17835e+07	1.172e+07	1.14948e+07	1.1656e+07	1.11658e+07
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1.75461e+07	1.82852e+07	1.7953e+07	1.8023e+07	1.77082e+07	1.66391e+07
O15155	BET1_HUMAN	BET1	BET1 homolog	7.91506e+06	7.00106e+06	6.76362e+06	7.49304e+06	8.455e+06	6.73995e+06
O15160	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	1.47661e+07	1.50812e+07	1.52152e+07	1.4971e+07	1.50782e+07	1.50341e+07
O15162	PLS1_HUMAN	PLSCR1	Phospholipid scramblase 1	1.36333e+06	1.29559e+06	1.56148e+06	1.38788e+06	1.20833e+06	1.53628e+06
O15164	TIF1A_HUMAN	TRIM24	Transcription intermediary factor 1-alpha	640758	740867	1.03502e+06	1.04568e+06	1.04244e+06	1.34585e+06
O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	2.14755e+07	2.27013e+07	2.25392e+07	2.12947e+07	2.10843e+07	2.18185e+07
O15182	CETN3_HUMAN	CETN3	Centrin-3	625046	600925	600273	675464	567333	510745
O15195	VILL_HUMAN	VILL	Villin-like protein	2.27788e+06	2.04711e+06	1.68258e+06	2.29361e+06	1.75044e+06	1.73405e+06
O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	1.94498e+07	1.93755e+07	2.0851e+07	1.82992e+07	2.0088e+07	1.88919e+07
O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	3.30128e+06	3.29464e+06	3.34797e+06	3.29874e+06	3.20491e+06	3.30763e+06
O15226	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	7.28707e+06	6.99139e+06	6.88881e+06	6.66195e+06	6.78353e+06	6.53249e+06
O15228	GNPAT_HUMAN	GNPAT	Dihydroxyacetone phosphate acyltransferase	819654	671321	776584	682131	822429	792383
O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	353106	409639	368819	439959	442314	399981
O15231	ZN185_HUMAN	ZNF185	Zinc finger protein 185	2.18481e+06	2.46198e+06	2.12273e+06	2.3523e+06	2.27474e+06	2.40816e+06
O15234	CASC3_HUMAN	CASC3	Protein CASC3	3.62108e+06	3.24404e+06	4.01032e+06	3.36699e+06	2.638e+06	3.79434e+06
O15235	RT12_HUMAN	MRPS12	28S ribosomal protein S12, mitochondrial	4.22296e+06	3.78927e+06	3.90626e+06	4.12334e+06	3.78157e+06	4.09104e+06
O15258	RER1_HUMAN	RER1	Protein RER1	6.06431e+06	5.95703e+06	5.73665e+06	5.87504e+06	5.51386e+06	5.45725e+06
O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	1.42348e+07	1.32014e+07	1.35843e+07	1.33385e+07	1.38253e+07	1.33731e+07
O15269	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	6.30497e+06	6.07304e+06	5.44126e+06	5.76945e+06	6.06589e+06	5.12253e+06
O15270	SPTC2_HUMAN	SPTLC2	Serine palmitoyltransferase 2	2.18525e+06	2.28464e+06	2.06443e+06	2.16761e+06	1.99767e+06	2.17895e+06
O15294	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	5.88793e+06	6.53902e+06	6.63762e+06	5.87926e+06	6.19661e+06	6.53794e+06
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2	2.12794e+07	2.14317e+07	2.05343e+07	2.04792e+07	1.91327e+07	2.04799e+07
O15318	RPC7_HUMAN	POLR3G	DNA-directed RNA polymerase III subunit RPC7	3.202e+06	3.87241e+06	3.11075e+06	2.38023e+06	2.95427e+06	2.89594e+06
O15320				8.27388e+06	8.44866e+06	8.30414e+06	7.4822e+06	8.22798e+06	8.44769e+06
O15344	TRI18_HUMAN	MID1	E3 ubiquitin-protein ligase Midline-1	1.27739e+06	1.37603e+06	1.54887e+06	1.11446e+06	1.41492e+06	1.75667e+06
O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	5.37701e+07	5.2706e+07	5.32334e+07	4.97734e+07	4.87735e+07	5.25334e+07
O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	2.26466e+07	2.24166e+07	2.13588e+07	2.13652e+07	2.06019e+07	2.07685e+07
O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	6.82633e+06	5.82074e+06	6.49078e+06	6.03774e+06	6.29802e+06	5.87948e+06
O15360	FANCA_HUMAN	FANCA	Fanconi anemia group A protein	93787.6	51740.5	76743.9	64892	100133	60488.8
O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	1.76866e+07	1.70332e+07	1.75307e+07	1.62268e+07	1.62843e+07	1.6912e+07
O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	2.05018e+07	2.10011e+07	1.89879e+07	1.95744e+07	1.93305e+07	1.98506e+07
O15379	HDAC3_HUMAN	HDAC3	Histone deacetylase 3	1.4057e+06	1.49148e+06	1.52943e+06	1.40084e+06	1.27838e+06	1.3648e+06
O15381	NVL_HUMAN	NVL	Nuclear valosin-containing protein-like	5.26752e+07	4.99184e+07	5.09877e+07	5.06758e+07	5.01871e+07	5.11552e+07
O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	1.49673e+07	1.49921e+07	1.38367e+07	1.44244e+07	1.38078e+07	1.35923e+07
O15392	BIRC5_HUMAN	BIRC5	Baculoviral IAP repeat-containing protein 5	1.66976e+06	2.03191e+06	1.54196e+06	1.71466e+06	1.28031e+06	1.39779e+06
O15397	IPO8_HUMAN	IPO8	Importin-8	4.36414e+06	4.34666e+06	4.1696e+06	3.9092e+06	3.99814e+06	3.68844e+06
O15400	STX7_HUMAN	STX7	Syntaxin-7	1.1653e+06	910315	665879	919928	896049	1.08632e+06
O15403	MOT7_HUMAN	SLC16A6	Monocarboxylate transporter 7	1.21561e+06	1.0128e+06	1.36528e+06	1.07371e+06	1.09976e+06	1.1262e+06
O15427	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4	2.90288e+07	2.91053e+07	2.87824e+07	2.80259e+07	2.88699e+07	2.94478e+07
O15438	MRP3_HUMAN	ABCC3	Canalicular multispecific organic anion transporter 2	1.50805e+07	1.59672e+07	1.89023e+07	1.50478e+07	1.63669e+07	1.73879e+07
O15439	MRP4_HUMAN	ABCC4	Multidrug resistance-associated protein 4	340773	234190	311941	328590	293832	283508
O15440	MRP5_HUMAN	ABCC5	Multidrug resistance-associated protein 5	842662	577267		1.00723e+06	999314	
O15446	RPA34_HUMAN	POLR1G	DNA-directed RNA polymerase I subunit RPA34	4.31453e+06	4.37203e+06	4.88796e+06	4.42514e+06	4.56638e+06	4.50092e+06
O15460	P4HA2_HUMAN	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	1.12348e+07	1.04557e+07	1.04207e+07	9.81534e+06	9.86091e+06	9.97329e+06
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6	1.26383e+07	1.35404e+07	1.33528e+07	1.31914e+07	1.34407e+07	1.39329e+07
O15504	NUP42_HUMAN	NUP42	Nucleoporin NUP42	1.62353e+06	2.03659e+06	2.09341e+06	1.5859e+06	1.97949e+06	1.71587e+06
O15511	ARPC5_HUMAN	ARPC5	Actin-related protein 2/3 complex subunit 5	2.84843e+07	2.55169e+07	2.56648e+07	2.70358e+07	2.67433e+07	2.54284e+07
O15514	RPB4_HUMAN	POLR2D	DNA-directed RNA polymerase II subunit RPB4	2.16903e+06	2.50257e+06	2.45827e+06	2.49283e+06	2.65184e+06	2.4092e+06
O15523	DDX3Y_HUMAN	DDX3Y	ATP-dependent RNA helicase DDX3Y	5.9807e+06	6.64501e+06	5.86397e+06	6.63476e+06		5.66729e+06
O15530	PDPK1_HUMAN	PDPK1	3-phosphoinositide-dependent protein kinase 1	294896	213679	504747	268404	281672	295766
O15533	TPSN_HUMAN	TAPBP	Tapasin	1.52619e+07	1.57669e+07	1.53843e+07	1.48156e+07	1.52067e+07	1.40958e+07
O15541	R113A_HUMAN	RNF113A	E3 ubiquitin-protein ligase RNF113A	4.29119e+06	4.61403e+06	3.50913e+06	4.25103e+06	3.02814e+06	4.73457e+06
O15554	KCNN4_HUMAN	KCNN4	Intermediate conductance calcium-activated potassium channel protein 4	117383	130519	123813	129828	142208	136639
O16214				2.64456e+06	2.85376e+06	3.22593e+06	3.1451e+06	3.17858e+06	3.4317e+06
O16215				47256			92531.9	104497	117680
O16249;Q8IA89;Q8MXK1				1.10102e+07	1.13644e+07	1.09412e+07	1.47523e+07	1.3283e+07	1.33404e+07
O16254						2.4233e+06	3.53269e+06	2.15326e+06	2.56648e+06
O16259	STIP1_CAEEL	sti-1	Stress-induced-phosphoprotein 1	1.68665e+07	1.65453e+07	1.66973e+07	2.1617e+07	2.11031e+07	2.18721e+07
O16264	PEBPH_CAEEL	F40A3.3	Phosphatidylethanolamine-binding protein homolog F40A3.3	8.6598e+06	7.9751e+06	7.74066e+06	1.04613e+07	1.09692e+07	9.96514e+06
O16266				4.23038e+06	4.38028e+06	4.44279e+06	4.99143e+06	5.54815e+06	5.78103e+06
O16293					1.46428e+06	2.07834e+06	2.12071e+06	1.73495e+06	2.47064e+06
O16294	GMPR_CAEEL	F32D1.5	GMP reductase	9.80901e+06	1.00686e+07	1.0065e+07	1.20773e+07	1.15335e+07	1.2195e+07
O16297				1.29959e+06	802746	817492	1.18377e+06	1.40576e+06	1.03795e+06
O16298				4.45073e+07	4.74531e+07	4.8409e+07	5.66113e+07	5.73025e+07	5.89371e+07
O16303				9.80769e+06	9.92156e+06	9.24263e+06	1.29055e+07	1.19941e+07	1.18842e+07
O16305	CALM_CAEEL	cmd-1	Calmodulin	1.80972e+08	1.91013e+08	1.87137e+08	1.93396e+08	1.96392e+08	1.97354e+08
O16309				1.14942e+06	1.42648e+06	1.6646e+06	1.60386e+06	1.85388e+06	1.44211e+06
O16315					1.30495e+06	1.04412e+06	1.50638e+06	1.49315e+06	1.3219e+06
O16319				1.99628e+06	2.30677e+06	1.64742e+06	2.68672e+06	2.6774e+06	2.14742e+06
O16368	PRS4_CAEEL	rpt-2	Probable 26S proteasome regulatory subunit 4	3.78808e+06	3.95888e+06	4.07637e+06	5.05088e+06	4.71143e+06	4.66136e+06
O16454				859022	785817	851257	944669	916772	753683
O16458						5.56784e+06		5.4577e+06	5.03767e+06
O16462				1.03721e+07	9.94152e+06	1.07107e+07	1.19975e+07	1.1737e+07	1.28595e+07
O16486				783595		581352	919736		802166
O16487				2.75728e+06	3.07875e+06	2.61027e+06	2.91507e+06	3.5689e+06	3.57629e+06
O16517				1.15186e+08	1.21008e+08	1.2081e+08	1.48634e+08	1.53243e+08	1.52362e+08
O16518;Q86S57;Q8MXJ7				6.78844e+06	6.49184e+06	6.12202e+06	6.78146e+06	7.83763e+06	7.91933e+06
O16520	ERF1_CAEEL	erfa-1	Eukaryotic peptide chain release factor subunit 1	1.19848e+07	1.21594e+07	1.08414e+07	1.42658e+07	1.39508e+07	1.36558e+07
O16521				3.37913e+06	3.35077e+06	3.60473e+06	4.81776e+06	4.15434e+06	5.00423e+06
O16582				561724		492258			587727
O16619				1.34481e+06	1.29759e+06	1.13112e+06	1.44919e+06	1.44501e+06	1.55438e+06
O16725				1.41226e+06	1.31475e+06	1.13453e+06	1.69349e+06	1.6536e+06	1.53349e+06
O16785	PARV_CAEEL	pat-6	Paralyzed arrest at two-fold protein 6	4.64258e+06	5.5774e+06	5.78073e+06	7.12485e+06	6.74728e+06	7.20061e+06
O16927	SRP14_CAEEL	F25G6.8	Signal recognition particle 14 kDa protein	4.38599e+06	3.97147e+06	3.59807e+06	4.33098e+06	4.49716e+06	4.18565e+06
O16928				210627	325951	384555	403391	423064	485629
O16997				1.97787e+06	2.19843e+06	1.77884e+06	2.39876e+06	2.38183e+06	2.78509e+06
O16999	ZPR1_CAEEL	W03F9.1	Zinc finger protein ZPR1 homolog	8.10787e+06	8.53418e+06	9.23027e+06	1.07182e+07	1.20697e+07	1.15635e+07
O17004				1.21577e+06	871430	469291	1.23671e+06	1.36335e+06	1.26468e+06
O17005							169978	152386	1.71952e+06
O17071	PRS10_CAEEL	rpt-4	Probable 26S proteasome regulatory subunit 10B	2.24571e+07	2.23102e+07	2.2639e+07	2.44751e+07	2.60657e+07	2.58501e+07
O17157				1.23036e+06	1.28447e+06	1.48569e+06	1.76475e+06	1.70124e+06	1.65479e+06
O17214	FUMH_CAEEL	fum-1	Probable fumarate hydratase, mitochondrial	2.14617e+07	2.09955e+07	2.16995e+07	2.66126e+07	2.79401e+07	2.99353e+07
O17218				1.97757e+08	2.05172e+08	2.11244e+08	2.24936e+08	2.46732e+08	2.4691e+08
O17271	HEH1_CAEEL	heh-1	Putative protein heh-1	7.21952e+06	7.81241e+06	7.62367e+06	8.62179e+06	9.62702e+06	8.26536e+06
O17274				1.24818e+06	1.34658e+06	1.53031e+06	1.42582e+06	1.76271e+06	1.56006e+06
O17287	TOM22_CAEEL	tomm-22	Mitochondrial import receptor subunit TOM22 homolog	2.99487e+06	3.33163e+06	3.45059e+06	4.43001e+06	4.19447e+06	5.7642e+06
O17328				1.92691e+06	1.77167e+06	2.04933e+06	2.21653e+06	2.61578e+06	2.29909e+06
O17345				6.80529e+06	8.09192e+06	6.34767e+06	8.80824e+06	9.25102e+06	8.88221e+06
O17352				3.67801e+06	4.21799e+06	4.09987e+06	4.65016e+06	4.94386e+06	5.04303e+06
O17373				1.43743e+06	1.16143e+06	1.01103e+06	1.66717e+06	1.62524e+06	1.47315e+06
O17389	TYB_CAEEL	tth-1	Thymosin beta	6.88674e+06	6.58916e+06	7.97551e+06	9.22368e+06	8.14815e+06	8.58207e+06
O17405	PLDL_CAEEL	F09G2.8	Probable phospholipase D F09G2.8	317766	256621	402342	457333	441084	476254
O17406				838254	918310	473918	760001	1.14385e+06	762179
O17528	TMED2_CAEEL	sel-9	Suppressor/enhancer of lin-12 protein 9	6.12815e+06	6.88781e+06	6.51691e+06	8.42283e+06	9.10899e+06	7.47852e+06
O17570	RL38_CAEEL	rpl-38	60S ribosomal protein L38	7.05993e+06	8.0404e+06	8.278e+06	6.06609e+06	9.27806e+06	8.51314e+06
O17586	PSA6_CAEEL	pas-1	Proteasome subunit alpha type-6	1.93107e+07	2.06823e+07	2.09695e+07	2.33343e+07	2.58124e+07	2.5672e+07
O17606	YK4P_CAEEL	C27H6.8	MYG1 protein C27H6.8	8.55472e+06	8.09505e+06	8.69429e+06	1.04815e+07	1.04341e+07	1.0258e+07
O17607	RUVB1_CAEEL	ruvb-1	RuvB-like 1	4.18398e+06	4.78334e+06	4.89784e+06	5.44614e+06	5.18854e+06	5.8314e+06
O17621				2.42579e+06	2.59872e+06	2.67159e+06	3.13102e+06	3.1574e+06	3.17557e+06
O17622	KCY1_CAEEL	C29F7.3	UMP-CMP kinase 1	5.45008e+06	5.40047e+06	5.6811e+06	7.0601e+06	6.2874e+06	6.73362e+06
O17626				1.76466e+07	1.63261e+07	1.68631e+07	2.19508e+07	2.20226e+07	2.10396e+07
O17643				5.19659e+06	4.20305e+06	5.01574e+06	5.99645e+06	6.10788e+06	5.70666e+06
O17680	METK1_CAEEL	sams-1	Probable S-adenosylmethionine synthase 1	6.5366e+07	6.8559e+07	7.12588e+07	8.18247e+07	8.75621e+07	8.63678e+07
O17685				6.4375e+06	7.01937e+06	6.88835e+06	6.61346e+06	7.08212e+06	7.32181e+06
O17687				6.39517e+06	6.42743e+06	7.24495e+06	7.08316e+06	7.84367e+06	7.73141e+06
O17694				3.01096e+07	3.42003e+07	3.39313e+07	3.93665e+07	4.54333e+07	4.63177e+07
O17695	HDA1_CAEEL	hda-1	Histone deacetylase 1	1.47924e+06	1.22925e+06	1.21488e+06	1.57141e+06	1.82378e+06	1.56925e+06
O17721				1.47131e+06	1.50275e+06	1.9126e+06	1.97626e+06	2.04256e+06	2.51395e+06
O17730	THT2_CAEEL	mpst-1	Putative thiosulfate sulfurtransferase mpst-1	1.80334e+06		1.45542e+06	2.0076e+06	1.44773e+06	2.02803e+06
O17731				2.43355e+06	2.17839e+06	3.44224e+06	2.65339e+06	2.99761e+06	2.58767e+06
O17732	PYC1_CAEEL	pyc-1	Pyruvate carboxylase 1	1.7835e+07	1.84315e+07	1.87885e+07	2.11147e+07	2.12388e+07	2.12116e+07
O17754	CBPE_CAEEL	egl-21	Carboxypeptidase E		1.33104e+06	1.49418e+06	1.96927e+06	1.85629e+06	2.09932e+06
O17759				5.95974e+07	6.23018e+07	6.4851e+07	7.53732e+07	7.8108e+07	7.85715e+07
O17836				6.94007e+08	5.85808e+08	6.00285e+08	6.55079e+08	6.62541e+08	7.13366e+08
O17839				1.27702e+06	1.57803e+06	977125	1.76925e+06	1.69166e+06	1.26532e+06
O17861	YVRI_CAEEL	F37H8.5	GILT-like protein F37H8.5	1.98744e+07	2.02422e+07	2.12047e+07	2.26465e+07	2.0736e+07	2.12097e+07
O17891				1.96896e+06	2.2942e+06	2.13409e+06	2.76276e+06	2.78425e+06	2.65217e+06
O17892				4.52779e+06	4.59919e+06	3.29352e+06	5.38514e+06	5.06272e+06	5.48218e+06
O17893				3.17863e+06	3.0981e+06	2.73375e+06	4.09113e+06	3.88825e+06	3.46529e+06
O17895				383106	322352	285367	307392	317844	323948
O17901	COPZ_CAEEL	copz-1	Probable coatomer subunit zeta	4.56906e+06	4.7438e+06	4.67123e+06	6.09275e+06	6.14081e+06	6.22904e+06
O17907	CTG1_CAEEL	ctg-1	Protein ctg-1		1.19084e+06	725770	1.76955e+06	1.67484e+06	1.43442e+06
O17915	RAN_CAEEL	ran-1	GTP-binding nuclear protein ran-1	4.25189e+08	4.24164e+08	4.23642e+08	3.91957e+08	4.0859e+08	4.13386e+08
O17919	DKC1_CAEEL	K01G5.5	Putative H/ACA ribonucleoprotein complex subunit 4	6.57927e+06	5.94072e+06	6.8938e+06	7.7962e+06	8.18394e+06	7.77665e+06
O17921				4.40617e+07	4.47341e+07	4.671e+07	5.57046e+07	5.81642e+07	5.7168e+07
O17939				2.72905e+06	2.30553e+06	2.04162e+06	2.62777e+06	2.53906e+06	2.60999e+06
O17944				657499	724335	690310	870294	967633	965685
O17953	DLDH_CAEEL	dld-1	Dihydrolipoyl dehydrogenase, mitochondrial	3.36112e+07	3.38736e+07	3.53308e+07	4.48224e+07	4.11399e+07	4.4885e+07
O17954				6.52985e+06	7.01675e+06	7.94104e+06	7.62193e+06	8.61338e+06	8.54854e+06
O17966	TOP1_CAEEL	top-1	DNA topoisomerase 1	528598	416135	386948	547550	520832	520589
O18000				1.61848e+07	1.65628e+07	1.66829e+07	1.95265e+07	1.95551e+07	2.00836e+07
O18015;Q52GX6				758269	691283	985180	1.10868e+06	1.13317e+06	1.32663e+06
O18054	PFD3_CAEEL	pfd-3	Probable prefoldin subunit 3	6.52346e+06	6.64324e+06	7.06373e+06	8.08006e+06	8.1186e+06	9.16195e+06
O18089				1.0864e+07	1.25936e+07	1.18435e+07	1.38968e+07	1.39409e+07	1.39775e+07
O18131				772600	921496		911648	1.15785e+06	1.13878e+06
O18154				1.75972e+07	1.68354e+07	1.5489e+07	2.3293e+07	2.25318e+07	2.19426e+07
O18155				711673	848756	871772	1.01135e+06	1.13124e+06	946719
O18156				1.62517e+06	1.39893e+06	1.55797e+06	1.87104e+06	1.51072e+06	1.84533e+06
O18178	2A51_CAEEL	pptr-1	Serine/threonine-protein phosphatase 2A regulatory subunit pptr-1	3.52556e+06	4.0753e+06	3.95329e+06	5.26953e+06	5.36799e+06	6.05027e+06
O18180				1.2051e+07	1.07578e+07	1.05897e+07	1.35802e+07	1.40225e+07	1.42373e+07
O18181				927943	840165	1.09191e+06	1.09176e+06	969114	979562
O18183							393790	226234	126515
O18199				1.30191e+06	1.44914e+06	1.57546e+06	1.58379e+06	1.70454e+06	1.61892e+06
O18211	MO25M_CAEEL	mop-25.2	MO25-like protein 2	104793	100770	96084	269031	233517	248257
O18215				988853	482178	974929	755385	884385	1.14592e+06
O18216	PNO1_CAEEL	pno-1	RNA-binding protein pno-1	651319	357299	375600	521073		874302
O18229	6PGL_CAEEL	Y57G11C.3	Putative 6-phosphogluconolactonase	3.54608e+06	3.55565e+06	3.50818e+06	4.15223e+06	4.60848e+06	4.4124e+06
O18235				1.07927e+06	907814	943235	1.57467e+06	1.69149e+06	1.37394e+06
O18236				8.3345e+06	6.56507e+06	7.30599e+06	8.68154e+06	8.02825e+06	8.14515e+06
O18240				1.21906e+08	1.221e+08	1.27476e+08	1.49108e+08	1.51011e+08	1.57811e+08
O18307				7.2787e+06	8.84592e+06	9.08514e+06	9.06436e+06	8.99793e+06	1.11771e+07
O18650	RS19_CAEEL	rps-19	40S ribosomal protein S19	5.69871e+07	6.57634e+07	7.46327e+07	7.46919e+07	7.81958e+07	8.69988e+07
O18693				4.51429e+06	4.00195e+06	3.41473e+06	4.83917e+06	4.23455e+06	4.54648e+06
O18694				1.56366e+06	1.80773e+06	1.76103e+06	2.09785e+06	2.04975e+06	2.30988e+06
O43137	YB085_YEAST	YBR085C-A	Uncharacterized protein YBR085C-A	2.58066e+07	2.44043e+07	2.23979e+07	1.15798e+07	1.32275e+07	1.03912e+07
O43143	DHX15_HUMAN	DHX15	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	3.35688e+07	3.40234e+07	3.59853e+07	3.30698e+07	3.35031e+07	3.40246e+07
O43148	MCES_HUMAN	RNMT	mRNA cap guanine-N7 methyltransferase	6.7521e+06	7.1157e+06	7.08234e+06	6.79184e+06	6.87838e+06	7.08198e+06
O43156	TTI1_HUMAN	TTI1	TELO2-interacting protein 1 homolog	2.3866e+06	2.58207e+06	2.54291e+06	2.65422e+06	2.40266e+06	2.3436e+06
O43159	RRP8_HUMAN	RRP8	Ribosomal RNA-processing protein 8	2.63878e+06	2.8408e+06	2.39658e+06	2.45975e+06	2.52327e+06	2.45967e+06
O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	2.62212e+07	2.46595e+07	2.86988e+07	2.58647e+07	2.83397e+07	2.86593e+07
O43172	PRP4_HUMAN	PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	1.32973e+07	1.32774e+07	1.352e+07	1.27135e+07	1.32217e+07	1.29036e+07
O43175	SERA_HUMAN	PHGDH	D-3-phosphoglycerate dehydrogenase	1.42757e+08	1.41818e+08	1.45086e+08	1.3969e+08	1.43674e+08	1.39667e+08
O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	1.96103e+07	1.67515e+07	1.69819e+07	1.74635e+07	1.61052e+07	1.92424e+07
O43237	DC1L2_HUMAN	DYNC1LI2	Cytoplasmic dynein 1 light intermediate chain 2	8.03122e+06	8.26352e+06	7.68281e+06	7.64944e+06	7.70421e+06	7.45795e+06
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	1.61043e+07	1.58485e+07	1.51412e+07	1.59796e+07	1.54133e+07	1.44425e+07
O43251	RFOX2_HUMAN	RBFOX2	RNA binding protein fox-1 homolog 2	2.7695e+06	2.79699e+06	2.83689e+06	2.76815e+06	2.33255e+06	3.11195e+06
O43252	PAPS1_HUMAN	PAPSS1	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1	8.50849e+06	8.15266e+06	7.12385e+06	7.2485e+06	7.31933e+06	7.12375e+06
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	4.38196e+06	4.34079e+06	4.78916e+06	4.10828e+06	4.24566e+06	4.34544e+06
O43290	SNUT1_HUMAN	SART1	U4/U6.U5 tri-snRNP-associated protein 1	7.47723e+06	7.16819e+06	7.25081e+06	7.06179e+06	6.92198e+06	6.96979e+06
O43292	GPAA1_HUMAN	GPAA1	Glycosylphosphatidylinositol anchor attachment 1 protein	4.93483e+06	5.33617e+06	4.90716e+06	4.71173e+06	4.29268e+06	4.41512e+06
O43294	TGFI1_HUMAN	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein	236151	207085	278808	242161	293448	195077
O43299	AP5Z1_HUMAN	AP5Z1	AP-5 complex subunit zeta-1	1.10171e+07	1.27817e+07	9.82958e+06	9.54421e+06	1.07384e+07	1.167e+07
O43314	VIP2_HUMAN	PPIP5K2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	1.37226e+06	1.69292e+06	1.69439e+06	2.17049e+06	1.83268e+06	1.86889e+06
O43318	M3K7_HUMAN	MAP3K7	Mitogen-activated protein kinase kinase kinase 7	256405			230635	205778	227711
O43324	MCA3_HUMAN	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1	1.67167e+07	1.67722e+07	1.60557e+07	1.41087e+07	1.5601e+07	1.62458e+07
O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	1.45042e+08	1.47631e+08	1.45585e+08	1.35154e+08	1.42626e+08	1.41878e+08
O43395	PRPF3_HUMAN	PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	1.39726e+07	1.46836e+07	1.43074e+07	1.49071e+07	1.39258e+07	1.3913e+07
