Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\LZW\Guomics\MS-BERT\Benchmark\fdrs_DIANN19\mzML_new\GUI\Tumor15\A20200127caix_yuanch_TCPA_CA_120min_DIA_09.mzML
P11413	G6PD_HUMAN	G6PD	Glucose-6-phosphate 1-dehydrogenase	3.8877e+07
P11441	UBL4A_HUMAN	UBL4A	Ubiquitin-like protein 4A	8.39985e+06
P11474	ERR1_HUMAN	ESRRA	Steroid hormone receptor ERR1	831860
P11498	PYC_HUMAN	PC	Pyruvate carboxylase, mitochondrial	9.09876e+06
P11532	DMD_HUMAN	DMD	Dystrophin	3.70515e+06
P11586	C1TC_HUMAN	MTHFD1	C-1-tetrahydrofolate synthase, cytoplasmic	3.98127e+07
P11678	PERE_HUMAN	EPX	Eosinophil peroxidase	2.60849e+06
P11717	MPRI_HUMAN	IGF2R	Cation-independent mannose-6-phosphate receptor	8.60258e+06
P11766	ADHX_HUMAN	ADH5	Alcohol dehydrogenase class-3	4.1505e+07
P11802	CDK4_HUMAN	CDK4	Cyclin-dependent kinase 4	6.5415e+06
P11908	PRPS2_HUMAN	PRPS2	Ribose-phosphate pyrophosphokinase 2	1.44364e+06
P11940	PABP1_HUMAN	PABPC1	Polyadenylate-binding protein 1	1.18659e+08
P12004	PCNA_HUMAN	PCNA	Proliferating cell nuclear antigen	4.61313e+07
P12074	CX6A1_HUMAN	COX6A1	Cytochrome c oxidase subunit 6A1, mitochondrial	1.32404e+07
P12081	HARS1_HUMAN	HARS1	Histidine--tRNA ligase, cytoplasmic	3.13371e+07
P12109	CO6A1_HUMAN	COL6A1	Collagen alpha-1(VI) chain	1.42795e+08
P12110	CO6A2_HUMAN	COL6A2	Collagen alpha-2(VI) chain	9.77749e+07
P12111	CO6A3_HUMAN	COL6A3	Collagen alpha-3(VI) chain	1.42251e+08
P12235	ADT1_HUMAN	SLC25A4	ADP/ATP translocase 1	1.4406e+07
P12236	ADT3_HUMAN	SLC25A6	ADP/ATP translocase 3	3.66272e+07
P12268	IMDH2_HUMAN	IMPDH2	Inosine-5'-monophosphate dehydrogenase 2	1.03974e+08
P12270	TPR_HUMAN	TPR	Nucleoprotein TPR	1.77076e+07
P12277	KCRB_HUMAN	CKB	Creatine kinase B-type	4.54822e+07
P12429	ANXA3_HUMAN	ANXA3	Annexin A3	3.17029e+07
P12532	KCRU_HUMAN	CKMT1A	Creatine kinase U-type, mitochondrial	6.7573e+06
P12694	ODBA_HUMAN	BCKDHA	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	1.17925e+07
P12724	ECP_HUMAN	RNASE3	Eosinophil cationic protein	7.82377e+06
P12757	SKIL_HUMAN	SKIL	Ski-like protein	1.99e+07
P12814	ACTN1_HUMAN	ACTN1	Alpha-actinin-1	8.21353e+07
P12821	ACE_HUMAN	ACE	Angiotensin-converting enzyme	3.00427e+07
P12830	CADH1_HUMAN	CDH1	Cadherin-1	1.75809e+07
P12931	SRC_HUMAN	SRC	Proto-oncogene tyrosine-protein kinase Src	1.76999e+07
P12955	PEPD_HUMAN	PEPD	Xaa-Pro dipeptidase	1.39196e+07
P12956	XRCC6_HUMAN	XRCC6	X-ray repair cross-complementing protein 6	1.18286e+08
P13010	XRCC5_HUMAN	XRCC5	X-ray repair cross-complementing protein 5	1.40886e+08
P13051	UNG_HUMAN	UNG	Uracil-DNA glycosylase	1.19417e+07
P13073	COX41_HUMAN	COX4I1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	8.9602e+07
P13164	IFM1_HUMAN	IFITM1	Interferon-induced transmembrane protein 1	1.5043e+07
P13284	GILT_HUMAN	IFI30	Gamma-interferon-inducible lysosomal thiol reductase	1.23891e+08
P13378	HXD8_HUMAN	HOXD8	Homeobox protein Hox-D8	1.36589e+06
P13473	LAMP2_HUMAN	LAMP2	Lysosome-associated membrane glycoprotein 2	5.27082e+07
P13489	RINI_HUMAN	RNH1	Ribonuclease inhibitor	4.22638e+07
P13591	NCAM1_HUMAN	NCAM1	Neural cell adhesion molecule 1	3.87925e+06
P13611	CSPG2_HUMAN	VCAN	Versican core protein	2.27289e+07
P13637	AT1A3_HUMAN	ATP1A3	Sodium/potassium-transporting ATPase subunit alpha-3	1.88814e+08
P13639	EF2_HUMAN	EEF2	Elongation factor 2	2.81997e+08
P13645	K1C10_HUMAN	KRT10	Keratin, type I cytoskeletal 10	3.58012e+07
P13646	K1C13_HUMAN	KRT13	Keratin, type I cytoskeletal 13	1.17364e+07
P13647	K2C5_HUMAN	KRT5	Keratin, type II cytoskeletal 5	1.28227e+07
P13667	PDIA4_HUMAN	PDIA4	Protein disulfide-isomerase A4	1.42409e+08
P13671	CO6_HUMAN	C6	Complement component C6	3.41441e+06
P13674	P4HA1_HUMAN	P4HA1	Prolyl 4-hydroxylase subunit alpha-1	1.92454e+07
P13686	PPA5_HUMAN	ACP5	Tartrate-resistant acid phosphatase type 5	470468
P13688	CEAM1_HUMAN	CEACAM1	Carcinoembryonic antigen-related cell adhesion molecule 1	1.3487e+06
P13693	TCTP_HUMAN	TPT1	Translationally-controlled tumor protein	9.16539e+07
P13716	HEM2_HUMAN	ALAD	Delta-aminolevulinic acid dehydratase	3.59897e+06
P13796	PLSL_HUMAN	LCP1	Plastin-2	2.84915e+07
P13797	PLST_HUMAN	PLS3	Plastin-3	1.32104e+07
P13798	ACPH_HUMAN	APEH	Acylamino-acid-releasing enzyme	1.59996e+07
P13804	ETFA_HUMAN	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial	2.91607e+07
P13807	GYS1_HUMAN	GYS1	Glycogen [starch] synthase, muscle	4.26834e+06
P13861	KAP2_HUMAN	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit	2.68699e+07
P13929	ENOB_HUMAN	ENO3	Beta-enolase	1.28765e+06
P13942	COBA2_HUMAN	COL11A2	Collagen alpha-2(XI) chain	6.22692e+06
P13984	T2FB_HUMAN	GTF2F2	General transcription factor IIF subunit 2	1.0722e+07
P13987	CD59_HUMAN	CD59	CD59 glycoprotein	1.02386e+07
P13995	MTDC_HUMAN	MTHFD2	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	2.19355e+07
P14136	GFAP_HUMAN	GFAP	Glial fibrillary acidic protein	1.79581e+06
P14174	MIF_HUMAN	MIF	Macrophage migration inhibitory factor	1.3814e+08
P14314	GLU2B_HUMAN	PRKCSH	Glucosidase 2 subunit beta	7.06859e+07
P14316	IRF2_HUMAN	IRF2	Interferon regulatory factor 2	1.82541e+06
P14317	HCLS1_HUMAN	HCLS1	Hematopoietic lineage cell-specific protein	2.31166e+06
P14324	FPPS_HUMAN	FDPS	Farnesyl pyrophosphate synthase	4.63446e+07
P14373	TRI27_HUMAN	TRIM27	Zinc finger protein RFP	4.16922e+06
P14406	CX7A2_HUMAN	COX7A2	Cytochrome c oxidase subunit 7A2, mitochondrial	1.98292e+07
P14543	NID1_HUMAN	NID1	Nidogen-1	3.88504e+07
P14550	AK1A1_HUMAN	AKR1A1	Aldo-keto reductase family 1 member A1	5.45636e+07
P14598	NCF1_HUMAN	NCF1	Neutrophil cytosol factor 1	1.90029e+06
P14618	KPYM_HUMAN	PKM	Pyruvate kinase PKM	7.21434e+08
P14625	ENPL_HUMAN	HSP90B1	Endoplasmin	8.00896e+08
P14635	CCNB1_HUMAN	CCNB1	G2/mitotic-specific cyclin-B1	3.50836e+06
P14649	MYL6B_HUMAN	MYL6B	Myosin light chain 6B	2.83599e+06
P14678	RSMB_HUMAN	SNRPB	Small nuclear ribonucleoprotein-associated proteins B and B'	2.00216e+08
P14735	IDE_HUMAN	IDE	Insulin-degrading enzyme	1.44484e+07
P14780	MMP9_HUMAN	MMP9	Matrix metalloproteinase-9	3.35091e+07
P14854	CX6B1_HUMAN	COX6B1	Cytochrome c oxidase subunit 6B1	1.09467e+07
P14859	PO2F1_HUMAN	POU2F1	POU domain, class 2, transcription factor 1	1.01696e+07
P14866	HNRPL_HUMAN	HNRNPL	Heterogeneous nuclear ribonucleoprotein L	1.3817e+08
P14868	SYDC_HUMAN	DARS1	Aspartate--tRNA ligase, cytoplasmic	4.23998e+07
P14902	I23O1_HUMAN	IDO1	Indoleamine 2,3-dioxygenase 1	1.12634e+06
P14923	PLAK_HUMAN	JUP	Junction plakoglobin	4.49462e+07
P14927	QCR7_HUMAN	UQCRB	Cytochrome b-c1 complex subunit 7	1.54225e+07
P15104	GLNA_HUMAN	GLUL	Glutamine synthetase	3.52969e+07
P15121	ALDR_HUMAN	AKR1B1	Aldo-keto reductase family 1 member B1	3.53299e+07
P15144	AMPN_HUMAN	ANPEP	Aminopeptidase N	9.69263e+06
P15151	PVR_HUMAN	PVR	Poliovirus receptor	5.39859e+06
P15153	RAC2_HUMAN	RAC2	Ras-related C3 botulinum toxin substrate 2	3.00189e+06
P15170	ERF3A_HUMAN	GSPT1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	3.05537e+07
P15289	ARSA_HUMAN	ARSA	Arylsulfatase A	3.5957e+06
P15291	B4GT1_HUMAN	B4GALT1	Beta-1,4-galactosyltransferase 1	8.64497e+06
P15309	PPAP_HUMAN	ACP3	Prostatic acid phosphatase	4.90523e+06
P15311	EZRI_HUMAN	EZR	Ezrin	1.0875e+08
P15313	VATB1_HUMAN	ATP6V1B1	V-type proton ATPase subunit B, kidney isoform	1.12226e+06
P15336	ATF2_HUMAN	ATF2	Cyclic AMP-dependent transcription factor ATF-2	933977
P15374	UCHL3_HUMAN	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3	1.02921e+07
P15531	NDKA_HUMAN	NME1	Nucleoside diphosphate kinase A	2.41617e+08
P15559	NQO1_HUMAN	NQO1	NAD(P)H dehydrogenase [quinone] 1	1.01077e+07
P15586	GNS_HUMAN	GNS	N-acetylglucosamine-6-sulfatase	2.26032e+07
P15848	ARSB_HUMAN	ARSB	Arylsulfatase B	805287
P15880	RS2_HUMAN	RPS2	Small ribosomal subunit protein uS5	2.54284e+08
P15882	CHIN_HUMAN	CHN1	N-chimaerin	1.82481e+06
P15884	ITF2_HUMAN	TCF4	Transcription factor 4	3.38836e+06
P15924	DESP_HUMAN	DSP	Desmoplakin	5.05317e+07
P15927	RFA2_HUMAN	RPA2	Replication protein A 32 kDa subunit	1.814e+07
P15941	MUC1_HUMAN	MUC1	Mucin-1	4.99486e+06
P16035	TIMP2_HUMAN	TIMP2	Metalloproteinase inhibitor 2	2.51086e+06
P16070	CD44_HUMAN	CD44	CD44 antigen	1.25496e+07
P16104	H2AX_HUMAN	H2AX	Histone H2AX	4.26221e+07
P16152	CBR1_HUMAN	CBR1	Carbonyl reductase [NADPH] 1	9.22026e+07
P16157	ANK1_HUMAN	ANK1	Ankyrin-1	6.74933e+06
P16219	ACADS_HUMAN	ACADS	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	7.52279e+06
P16220	CREB1_HUMAN	CREB1	Cyclic AMP-responsive element-binding protein 1	8.79852e+06
P16278	BGAL_HUMAN	GLB1	Beta-galactosidase	1.6963e+07
P16284	PECA1_HUMAN	PECAM1	Platelet endothelial cell adhesion molecule	719989
P16298	PP2BB_HUMAN	PPP3CB	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform	3.69146e+06
P16333	NCK1_HUMAN	NCK1	Cytoplasmic protein NCK1	8.12411e+06
P16383	GCFC2_HUMAN	GCFC2	Intron Large complex component GCFC2	4.18878e+07
P16401	H15_HUMAN	H1-5	Histone H1.5	1.19652e+09
P16422	EPCAM_HUMAN	EPCAM	Epithelial cell adhesion molecule	1.8286e+07
P16435	NCPR_HUMAN	POR	NADPH--cytochrome P450 reductase	2.06526e+07
P16455	MGMT_HUMAN	MGMT	Methylated-DNA--protein-cysteine methyltransferase	1.70009e+07
P16591	FER_HUMAN	FER	Tyrosine-protein kinase Fer	9.85618e+06
P16615	AT2A2_HUMAN	ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	3.41059e+07
P16870	CBPE_HUMAN	CPE	Carboxypeptidase E	1.66506e+06
P16885	PLCG2_HUMAN	PLCG2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	3.82178e+07
P16930	FAAA_HUMAN	FAH	Fumarylacetoacetase	1.2317e+07
P16949	STMN1_HUMAN	STMN1	Stathmin	1.23462e+08
P16989	YBOX3_HUMAN	YBX3	Y-box-binding protein 3	3.75007e+07
P17026	ZNF22_HUMAN	ZNF22	Zinc finger protein 22	5.72966e+06
P17028	ZNF24_HUMAN	ZNF24	Zinc finger protein 24	5.67887e+06
P17029	ZKSC1_HUMAN	ZKSCAN1	Zinc finger protein with KRAB and SCAN domains 1	2.03316e+06
P17050	NAGAB_HUMAN	NAGA	Alpha-N-acetylgalactosaminidase	8.68046e+06
P17096	HMGA1_HUMAN	HMGA1	High mobility group protein HMG-I/HMG-Y	1.44329e+08
P17152	TMM11_HUMAN	TMEM11	Transmembrane protein 11, mitochondrial	6.87791e+06
P17174	AATC_HUMAN	GOT1	Aspartate aminotransferase, cytoplasmic	4.52989e+07
P17275	JUNB_HUMAN	JUNB	Transcription factor JunB	376143
P17301	ITA2_HUMAN	ITGA2	Integrin alpha-2	3.65757e+06
P17302	CXA1_HUMAN	GJA1	Gap junction alpha-1 protein	4.08914e+06
P17480	UBF1_HUMAN	UBTF	Nucleolar transcription factor 1	2.61095e+07
P17482	HXB9_HUMAN	HOXB9	Homeobox protein Hox-B9	2.93501e+06
P17535	JUND_HUMAN	JUND	Transcription factor JunD	5.76383e+06
P17544	ATF7_HUMAN	ATF7	Cyclic AMP-dependent transcription factor ATF-7	2.90024e+06
P17568	NDUB7_HUMAN	NDUFB7	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	329490
P17612	KAPCA_HUMAN	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha	2.67351e+07
P17655	CAN2_HUMAN	CAPN2	Calpain-2 catalytic subunit	2.58031e+07
P17661	DESM_HUMAN	DES	Desmin	5.29348e+06
P17676	CEBPB_HUMAN	CEBPB	CCAAT/enhancer-binding protein beta	1.9995e+06
P17706	PTN2_HUMAN	PTPN2	Tyrosine-protein phosphatase non-receptor type 2	1.79325e+07
P17707	DCAM_HUMAN	AMD1	S-adenosylmethionine decarboxylase proenzyme	270512
P17812	PYRG1_HUMAN	CTPS1	CTP synthase 1	1.60134e+07
P17844	DDX5_HUMAN	DDX5	Probable ATP-dependent RNA helicase DDX5	1.29616e+08
P17858	PFKAL_HUMAN	PFKL	ATP-dependent 6-phosphofructokinase, liver type	4.98712e+07
P17931	LEG3_HUMAN	LGALS3	Galectin-3	1.08816e+08
P17936	IBP3_HUMAN	IGFBP3	Insulin-like growth factor-binding protein 3	4.97611e+07
P17948	VGFR1_HUMAN	FLT1	Vascular endothelial growth factor receptor 1	5.27301e+07
P17980	PRS6A_HUMAN	PSMC3	26S proteasome regulatory subunit 6A	3.05301e+07
P17987	TCPA_HUMAN	TCP1	T-complex protein 1 subunit alpha	1.08475e+08
P18031	PTN1_HUMAN	PTPN1	Tyrosine-protein phosphatase non-receptor type 1	1.26563e+07
P18065	IBP2_HUMAN	IGFBP2	Insulin-like growth factor-binding protein 2	1.81616e+07
P18074	ERCC2_HUMAN	ERCC2	General transcription and DNA repair factor IIH helicase subunit XPD	3.01826e+06
P18077	RL35A_HUMAN	RPL35A	Large ribosomal subunit protein eL33	2.38602e+08
P18084	ITB5_HUMAN	ITGB5	Integrin beta-5	1.53541e+07
P18085	ARF4_HUMAN	ARF4	ADP-ribosylation factor 4	5.53568e+07
P18124	RL7_HUMAN	RPL7	Large ribosomal subunit protein uL30	2.2189e+08
P18206	VINC_HUMAN	VCL	Vinculin	1.4105e+08
P18428	LBP_HUMAN	LBP	Lipopolysaccharide-binding protein	3.69787e+06
P18433	PTPRA_HUMAN	PTPRA	Receptor-type tyrosine-protein phosphatase alpha	2.09299e+06
P18583	SON_HUMAN	SON	Protein SON	6.8725e+07
P18615	NELFE_HUMAN	NELFE	Negative elongation factor E	9.3296e+06
P18621	RL17_HUMAN	RPL17	Large ribosomal subunit protein uL22	1.01714e+08
P18669	PGAM1_HUMAN	PGAM1	Phosphoglycerate mutase 1	1.75534e+08
P18754	RCC1_HUMAN	RCC1	Regulator of chromosome condensation	6.02021e+07
P18847	ATF3_HUMAN	ATF3	Cyclic AMP-dependent transcription factor ATF-3	4.33346e+07
P18858	DNLI1_HUMAN	LIG1	DNA ligase 1	2.1433e+06
P18859	ATP5J_HUMAN	ATP5PF	ATP synthase-coupling factor 6, mitochondrial	1.39201e+07
P18887	XRCC1_HUMAN	XRCC1	DNA repair protein XRCC1	1.70422e+07
P19012	K1C15_HUMAN	KRT15	Keratin, type I cytoskeletal 15	464161
P19013	K2C4_HUMAN	KRT4	Keratin, type II cytoskeletal 4	7.78814e+06
P19021	AMD_HUMAN	PAM	Peptidyl-glycine alpha-amidating monooxygenase	3.48746e+06
P19022	CADH2_HUMAN	CDH2	Cadherin-2	1.53935e+07
P19174	PLCG1_HUMAN	PLCG1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	6.55988e+06
P19320	VCAM1_HUMAN	VCAM1	Vascular cell adhesion protein 1	364072
P19338	NUCL_HUMAN	NCL	Nucleolin	9.45248e+08
P19367	HXK1_HUMAN	HK1	Hexokinase-1	8.57988e+07
P19387	RPB3_HUMAN	POLR2C	DNA-directed RNA polymerase II subunit RPB3	1.25217e+07
P19388	RPAB1_HUMAN	POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1	1.44894e+07
P19404	NDUV2_HUMAN	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	1.46168e+07
P19447	ERCC3_HUMAN	ERCC3	General transcription and DNA repair factor IIH helicase subunit XPB	1.34903e+06
P19525	E2AK2_HUMAN	EIF2AK2	Interferon-induced, double-stranded RNA-activated protein kinase	1.40231e+07
P19623	SPEE_HUMAN	SRM	Spermidine synthase	4.13886e+07
P19652	A1AG2_HUMAN	ORM2	Alpha-1-acid glycoprotein 2	3.62785e+07
P19784	CSK22_HUMAN	CSNK2A2	Casein kinase II subunit alpha'	1.6533e+07
P19793	RXRA_HUMAN	RXRA	Retinoic acid receptor RXR-alpha	292510
P19801	AOC1_HUMAN	AOC1	Amiloride-sensitive amine oxidase [copper-containing]	4.33114e+06
P19823	ITIH2_HUMAN	ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2	5.61077e+07
P19827	ITIH1_HUMAN	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1	9.0819e+07
P19838	NFKB1_HUMAN	NFKB1	Nuclear factor NF-kappa-B p105 subunit	1.36719e+06
P19878	NCF2_HUMAN	NCF2	Neutrophil cytosol factor 2	2.85957e+06
P19971	TYPH_HUMAN	TYMP	Thymidine phosphorylase	3.68039e+07
P20020	AT2B1_HUMAN	ATP2B1	Plasma membrane calcium-transporting ATPase 1	2.81061e+06
P20042	IF2B_HUMAN	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2	3.24733e+07
P20073	ANXA7_HUMAN	ANXA7	Annexin A7	3.99977e+07
P20160	CAP7_HUMAN	AZU1	Azurocidin	2.52844e+07
P20226	TBP_HUMAN	TBP	TATA-box-binding protein	7.41969e+06
P20290	BTF3_HUMAN	BTF3	Transcription factor BTF3	3.98401e+07
P20292	AL5AP_HUMAN	ALOX5AP	Arachidonate 5-lipoxygenase-activating protein	1.52044e+07
P20336	RAB3A_HUMAN	RAB3A	Ras-related protein Rab-3A	2.32636e+06
P20338	RAB4A_HUMAN	RAB4A	Ras-related protein Rab-4A	5.10315e+06
P20339	RAB5A_HUMAN	RAB5A	Ras-related protein Rab-5A	2.11373e+07
P20340	RAB6A_HUMAN	RAB6A	Ras-related protein Rab-6A	4.60145e+07
P20585	MSH3_HUMAN	MSH3	DNA mismatch repair protein Msh3	3.38218e+06
P20591	MX1_HUMAN	MX1	Interferon-induced GTP-binding protein Mx1	1.30995e+07
P20592	MX2_HUMAN	MX2	Interferon-induced GTP-binding protein Mx2	927175
P20618	PSB1_HUMAN	PSMB1	Proteasome subunit beta type-1	5.02168e+07
P20645	MPRD_HUMAN	M6PR	Cation-dependent mannose-6-phosphate receptor	2.84581e+06
P20671	H2A1D_HUMAN	H2AC7	Histone H2A type 1-D	1.46465e+06
P20674	COX5A_HUMAN	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial	8.7588e+07
P20700	LMNB1_HUMAN	LMNB1	Lamin-B1	1.91738e+08
P20702	ITAX_HUMAN	ITGAX	Integrin alpha-X	924878
P20774	MIME_HUMAN	OGN	Mimecan	5.98295e+06
P20810	ICAL_HUMAN	CAST	Calpastatin	9.98386e+06
P20839	IMDH1_HUMAN	IMPDH1	Inosine-5'-monophosphate dehydrogenase 1	7.53142e+06
P20908	CO5A1_HUMAN	COL5A1	Collagen alpha-1(V) chain	2.13875e+06
P20933	ASPG_HUMAN	AGA	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	2.08821e+07
P20936	RASA1_HUMAN	RASA1	Ras GTPase-activating protein 1	8.06676e+06
P20962	PTMS_HUMAN	PTMS	Parathymosin	3.14166e+08
P21127	CD11B_HUMAN	CDK11B	Cyclin-dependent kinase 11B	3.99208e+07
P21266	GSTM3_HUMAN	GSTM3	Glutathione S-transferase Mu 3	9.19186e+07
P21281	VATB2_HUMAN	ATP6V1B2	V-type proton ATPase subunit B, brain isoform	2.83173e+07
P21283	VATC1_HUMAN	ATP6V1C1	V-type proton ATPase subunit C 1	4.49993e+07
P21291	CSRP1_HUMAN	CSRP1	Cysteine and glycine-rich protein 1	3.80452e+07
P21333	FLNA_HUMAN	FLNA	Filamin-A	9.0333e+07
P21397	AOFA_HUMAN	MAOA	Amine oxidase [flavin-containing] A	2.89468e+07
P21399	ACOHC_HUMAN	ACO1	Cytoplasmic aconitate hydratase	2.31517e+07
P21579	SYT1_HUMAN	SYT1	Synaptotagmin-1	345929
P21589	5NTD_HUMAN	NT5E	5'-nucleotidase	4.0426e+06
P21675	TAF1_HUMAN	TAF1	Transcription initiation factor TFIID subunit 1	934673
P21709	EPHA1_HUMAN	EPHA1	Ephrin type-A receptor 1	1.66344e+06
P21741	MK_HUMAN	MDK	Midkine	5.07612e+06
P21796	VDAC1_HUMAN	VDAC1	Voltage-dependent anion-selective channel protein 1	1.32948e+08
P21810	PGS1_HUMAN	BGN	Biglycan	5.01226e+07
P21912	SDHB_HUMAN	SDHB	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	1.6734e+07
P21926	CD9_HUMAN	CD9	CD9 antigen	6.04442e+06
P21953	ODBB_HUMAN	BCKDHB	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial	1.88058e+06
P21964	COMT_HUMAN	COMT	Catechol O-methyltransferase	2.26634e+07
P21980	TGM2_HUMAN	TGM2	Protein-glutamine gamma-glutamyltransferase 2	4.90303e+07
P22033	MUTA_HUMAN	MMUT	Methylmalonyl-CoA mutase, mitochondrial	2.46648e+07
P22059	OSBP1_HUMAN	OSBP	Oxysterol-binding protein 1	2.13851e+06
P22061	PIMT_HUMAN	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	6.44752e+07
P22087	FBRL_HUMAN	FBL	rRNA 2'-O-methyltransferase fibrillarin	1.10798e+08
P22102	PUR2_HUMAN	GART	Trifunctional purine biosynthetic protein adenosine-3	6.33269e+07
P22105	TENX_HUMAN	TNXB	Tenascin-X	3.77856e+06
P22223	CADH3_HUMAN	CDH3	Cadherin-3	6.10084e+06
P22234	PUR6_HUMAN	PAICS	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase	7.96732e+07
P22307	SCP2_HUMAN	SCP2	Sterol carrier protein 2	2.79328e+07
P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1	2.44857e+08
P22352	GPX3_HUMAN	GPX3	Glutathione peroxidase 3	1.38342e+07
P22392	NDKB_HUMAN	NME2	Nucleoside diphosphate kinase B	5.46555e+08
P22466	GALA_HUMAN	GAL	Galanin peptides	620341
P22570	ADRO_HUMAN	FDXR	NADPH:adrenodoxin oxidoreductase, mitochondrial	3.48916e+07
P22626	ROA2_HUMAN	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	8.83658e+08
P22670	RFX1_HUMAN	RFX1	MHC class II regulatory factor RFX1	5.30169e+06
P22676	CALB2_HUMAN	CALB2	Calretinin	4.52225e+06
P22681	CBL_HUMAN	CBL	E3 ubiquitin-protein ligase CBL	4.32177e+06
P22694	KAPCB_HUMAN	PRKACB	cAMP-dependent protein kinase catalytic subunit beta	4.26732e+06
P22695	QCR2_HUMAN	UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial	2.86187e+07
P22792	CPN2_HUMAN	CPN2	Carboxypeptidase N subunit 2	2.48292e+06
P22830	HEMH_HUMAN	FECH	Ferrochelatase, mitochondrial	1.035e+07
P22891	PROZ_HUMAN	PROZ	Vitamin K-dependent protein Z	1.01354e+06
P22894	MMP8_HUMAN	MMP8	Neutrophil collagenase	718692
P22897	MRC1_HUMAN	MRC1	Macrophage mannose receptor 1	2.2878e+06
P23083	HV102_HUMAN	IGHV1-2	Immunoglobulin heavy variable 1-2	5.93044e+06
P23141	EST1_HUMAN	CES1	Liver carboxylesterase 1	1.90811e+06
P23142	FBLN1_HUMAN	FBLN1	Fibulin-1	2.25817e+07
P23193	TCEA1_HUMAN	TCEA1	Transcription elongation factor A protein 1	5.14719e+07
P23229	ITA6_HUMAN	ITGA6	Integrin alpha-6	1.13325e+07
P23246	SFPQ_HUMAN	SFPQ	Splicing factor, proline- and glutamine-rich	6.37625e+08
P23258	TBG1_HUMAN	TUBG1	Tubulin gamma-1 chain	1.23344e+07
P23284	PPIB_HUMAN	PPIB	Peptidyl-prolyl cis-trans isomerase B	1.59095e+08
P23368	MAOM_HUMAN	ME2	NAD-dependent malic enzyme, mitochondrial	7.55599e+07
P23378	GCSP_HUMAN	GLDC	Glycine dehydrogenase (decarboxylating), mitochondrial	1.5723e+07
P23381	SYWC_HUMAN	WARS1	Tryptophan--tRNA ligase, cytoplasmic	3.05006e+07
P23396	RS3_HUMAN	RPS3	Small ribosomal subunit protein uS3	2.38762e+08
P23434	GCSH_HUMAN	GCSH	Glycine cleavage system H protein, mitochondrial	5.58314e+06
P23443	KS6B1_HUMAN	RPS6KB1	Ribosomal protein S6 kinase beta-1	5.36779e+06
P23458	JAK1_HUMAN	JAK1	Tyrosine-protein kinase JAK1	1.98476e+06
P23469	PTPRE_HUMAN	PTPRE	Receptor-type tyrosine-protein phosphatase epsilon	2.53543e+06
P23470	PTPRG_HUMAN	PTPRG	Receptor-type tyrosine-protein phosphatase gamma	3.67462e+06
P23497	SP100_HUMAN	SP100	Nuclear autoantigen Sp-100	8.90301e+06
P23511	NFYA_HUMAN	NFYA	Nuclear transcription factor Y subunit alpha	4.74352e+06
P23526	SAHH_HUMAN	AHCY	Adenosylhomocysteinase	2.75881e+08
P23528	COF1_HUMAN	CFL1	Cofilin-1	2.27612e+08
P23588	IF4B_HUMAN	EIF4B	Eukaryotic translation initiation factor 4B	9.38217e+07
P23610	HAP40_HUMAN	F8A1	40-kDa huntingtin-associated protein	3.31662e+06
P23634	AT2B4_HUMAN	ATP2B4	Plasma membrane calcium-transporting ATPase 4	2.13267e+07
P23743	DGKA_HUMAN	DGKA	Diacylglycerol kinase alpha	6.81216e+06
P23786	CPT2_HUMAN	CPT2	Carnitine O-palmitoyltransferase 2, mitochondrial	3.9835e+07
P23919	KTHY_HUMAN	DTYMK	Thymidylate kinase	3.06594e+07
