Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\DIArt_model\human\B20190315yix_KRUK_DIA_b1_13.mzML
P40222	TXLNA_HUMAN	TXLNA	Alpha-taxilin	4.05121e+07
P40227	TCPZ_HUMAN	CCT6A	T-complex protein 1 subunit zeta	1.27801e+08
P40261	NNMT_HUMAN	NNMT	Nicotinamide N-methyltransferase	8.38986e+07
P40306	PSB10_HUMAN	PSMB10	Proteasome subunit beta type-10	2.24678e+07
P40424;P40425	PBX1_HUMAN;PBX2_HUMAN	PBX1;PBX2	Pre-B-cell leukemia transcription factor 1	3.83022e+06
P40429	RL13A_HUMAN	RPL13A	Large ribosomal subunit protein uL13	2.85401e+08
P40616	ARL1_HUMAN	ARL1	ADP-ribosylation factor-like protein 1	1.04185e+07
P40692	MLH1_HUMAN	MLH1	DNA mismatch repair protein Mlh1	3.58304e+06
P40763	STAT3_HUMAN	STAT3	Signal transducer and activator of transcription 3	1.65462e+07
P40818	UBP8_HUMAN	USP8	Ubiquitin carboxyl-terminal hydrolase 8	6.61751e+06
P40855	PEX19_HUMAN	PEX19	Peroxisomal biogenesis factor 19	1.08631e+07
P40925	MDHC_HUMAN	MDH1	Malate dehydrogenase, cytoplasmic	3.16286e+08
P40926	MDHM_HUMAN	MDH2	Malate dehydrogenase, mitochondrial	2.88906e+08
P40938	RFC3_HUMAN	RFC3	Replication factor C subunit 3	1.19484e+06
P40939	ECHA_HUMAN	HADHA	Trifunctional enzyme subunit alpha, mitochondrial	1.07656e+08
P41091	IF2G_HUMAN	EIF2S3	Eukaryotic translation initiation factor 2 subunit 3	6.77229e+07
P41214	EIF2D_HUMAN	EIF2D	Eukaryotic translation initiation factor 2D	6.04353e+06
P41218	MNDA_HUMAN	MNDA	Myeloid cell nuclear differentiation antigen	2.35617e+07
P41219	PERI_HUMAN	PRPH	Peripherin	771480
P41223	BUD31_HUMAN	BUD31	Protein BUD31 homolog	1.17266e+06
P41226	UBA7_HUMAN	UBA7	Ubiquitin-like modifier-activating enzyme 7	9.39348e+06
P41227	NAA10_HUMAN	NAA10	N-alpha-acetyltransferase 10	1.90196e+07
P41235	HNF4A_HUMAN	HNF4A	Hepatocyte nuclear factor 4-alpha	3.12102e+06
P41236	IPP2_HUMAN	PPP1R2	Protein phosphatase inhibitor 2	1.83486e+07
P41240	CSK_HUMAN	CSK	Tyrosine-protein kinase CSK	1.77721e+07
P41250	GARS_HUMAN	GARS1	Glycine--tRNA ligase	5.79568e+07
P41252	SYIC_HUMAN	IARS1	Isoleucine--tRNA ligase, cytoplasmic	2.32209e+07
P42025	ACTY_HUMAN	ACTR1B	Beta-centractin	4.96467e+06
P42126	ECI1_HUMAN	ECI1	Enoyl-CoA delta isomerase 1, mitochondrial	6.32198e+07
P42166	LAP2A_HUMAN	TMPO	Lamina-associated polypeptide 2, isoform alpha	7.10872e+07
P42167	LAP2B_HUMAN	TMPO	Lamina-associated polypeptide 2, isoforms beta/gamma	6.16712e+07
P42224	STAT1_HUMAN	STAT1	Signal transducer and activator of transcription 1-alpha/beta	7.55845e+07
P42226	STAT6_HUMAN	STAT6	Signal transducer and activator of transcription 6	2.75913e+06
P42285	MTREX_HUMAN	MTREX	Exosome RNA helicase MTR4	3.6317e+06
P42330	AK1C3_HUMAN	AKR1C3	Aldo-keto reductase family 1 member C3	6.74395e+07
P42331	RHG25_HUMAN	ARHGAP25	Rho GTPase-activating protein 25	1.56985e+06
P42338	PK3CB_HUMAN	PIK3CB	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform	1.14513e+06
P42345	MTOR_HUMAN	MTOR	Serine/threonine-protein kinase mTOR	766465
P42566	EPS15_HUMAN	EPS15	Epidermal growth factor receptor substrate 15	8.17379e+06
P42574	CASP3_HUMAN	CASP3	Caspase-3	1.57338e+07
P42677	RS27_HUMAN	RPS27	Small ribosomal subunit protein eS27	1.19373e+08
P42696	RBM34_HUMAN	RBM34	RNA-binding protein 34	6.97102e+06
P42704	LPPRC_HUMAN	LRPPRC	Leucine-rich PPR motif-containing protein, mitochondrial	3.57215e+07
P42765	THIM_HUMAN	ACAA2	3-ketoacyl-CoA thiolase, mitochondrial	8.52162e+07
P42766	RL35_HUMAN	RPL35	Large ribosomal subunit protein uL29	2.49787e+08
P42768	WASP_HUMAN	WAS	Actin nucleation-promoting factor WAS	9.66405e+06
P42785	PCP_HUMAN	PRCP	Lysosomal Pro-X carboxypeptidase	7.5698e+06
P42858	HD_HUMAN	HTT	Huntingtin	6.0287e+06
P42892	ECE1_HUMAN	ECE1	Endothelin-converting enzyme 1	3.60473e+06
P43034	LIS1_HUMAN	PAFAH1B1	Platelet-activating factor acetylhydrolase IB subunit beta	8.13593e+07
P43121	MUC18_HUMAN	MCAM	Cell surface glycoprotein MUC18	6.43967e+07
P43155	CACP_HUMAN	CRAT	Carnitine O-acetyltransferase	8.01258e+06
P43243	MATR3_HUMAN	MATR3	Matrin-3	1.02038e+08
P43246	MSH2_HUMAN	MSH2	DNA mismatch repair protein Msh2	1.17433e+07
P43251	BTD_HUMAN	BTD	Biotinidase	1.66882e+06
P43304	GPDM_HUMAN	GPD2	Glycerol-3-phosphate dehydrogenase, mitochondrial	9.58936e+06
P43307	SSRA_HUMAN	SSR1	Translocon-associated protein subunit alpha	5.56412e+07
P43487	RANG_HUMAN	RANBP1	Ran-specific GTPase-activating protein	1.69172e+08
P43490	NAMPT_HUMAN	NAMPT	Nicotinamide phosphoribosyltransferase	3.97171e+07
P43686	PRS6B_HUMAN	PSMC4	26S proteasome regulatory subunit 6B	2.47394e+07
P43897	EFTS_HUMAN	TSFM	Elongation factor Ts, mitochondrial	1.04802e+07
P45880	VDAC2_HUMAN	VDAC2	Voltage-dependent anion-selective channel protein 2	7.95787e+07
P45954	ACDSB_HUMAN	ACADSB	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	7.26182e+06
P45973	CBX5_HUMAN	CBX5	Chromobox protein homolog 5	2.49656e+07
P45974	UBP5_HUMAN	USP5	Ubiquitin carboxyl-terminal hydrolase 5	4.15486e+07
P45984	MK09_HUMAN	MAPK9	Mitogen-activated protein kinase 9	2.42698e+06
P46013	KI67_HUMAN	MKI67	Proliferation marker protein Ki-67	4.39578e+07
P46019	KPB2_HUMAN	PHKA2	Phosphorylase b kinase regulatory subunit alpha, liver isoform	1.64274e+06
P46060	RAGP1_HUMAN	RANGAP1	Ran GTPase-activating protein 1	5.12843e+07
P46063	RECQ1_HUMAN	RECQL	ATP-dependent DNA helicase Q1	1.22653e+07
P46087	NOP2_HUMAN	NOP2	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase	4.15565e+07
P46108	CRK_HUMAN	CRK	Adapter molecule crk	2.04977e+07
P46109	CRKL_HUMAN	CRKL	Crk-like protein	2.8051e+07
P46379	BAG6_HUMAN	BAG6	Large proline-rich protein BAG6	1.19602e+07
P46459	NSF_HUMAN	NSF	Vesicle-fusing ATPase	9.41832e+07
P46776	RL27A_HUMAN	RPL27A	Large ribosomal subunit protein uL15	4.73038e+08
P46777	RL5_HUMAN	RPL5	Large ribosomal subunit protein uL18	2.28056e+08
P46778	RL21_HUMAN	RPL21	Large ribosomal subunit protein eL21	1.89883e+08
P46779	RL28_HUMAN	RPL28	Large ribosomal subunit protein eL28	1.90308e+08
P46781	RS9_HUMAN	RPS9	Small ribosomal subunit protein uS4	1.38239e+08
P46782	RS5_HUMAN	RPS5	Small ribosomal subunit protein uS7	1.17407e+07
P46783	RS10_HUMAN	RPS10	Small ribosomal subunit protein eS10	3.03777e+08
P46821	MAP1B_HUMAN	MAP1B	Microtubule-associated protein 1B	2.7743e+07
P46926	GNPI1_HUMAN	GNPDA1	Glucosamine-6-phosphate isomerase 1	2.60475e+07
P46937	YAP1_HUMAN	YAP1	Transcriptional coactivator YAP1	3.80211e+07
P46939	UTRN_HUMAN	UTRN	Utrophin	1.27206e+07
P46940	IQGA1_HUMAN	IQGAP1	Ras GTPase-activating-like protein IQGAP1	1.19034e+08
P46976	GLYG_HUMAN	GYG1	Glycogenin-1	4.03281e+07
P46977	STT3A_HUMAN	STT3A	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	2.5741e+07
P47224	MSS4_HUMAN	RABIF	Guanine nucleotide exchange factor MSS4	1.81888e+06
P47755	CAZA2_HUMAN	CAPZA2	F-actin-capping protein subunit alpha-2	1.38518e+08
P47756	CAPZB_HUMAN	CAPZB	F-actin-capping protein subunit beta	1.12773e+08
P47895	AL1A3_HUMAN	ALDH1A3	Retinaldehyde dehydrogenase 3	4.85568e+06
P47897	SYQ_HUMAN	QARS1	Glutamine--tRNA ligase	3.54148e+07
P47914	RL29_HUMAN	RPL29	Large ribosomal subunit protein eL29	3.12199e+08
P48047	ATPO_HUMAN	ATP5PO	ATP synthase subunit O, mitochondrial	1.71658e+08
P48147	PPCE_HUMAN	PREP	Prolyl endopeptidase	4.01832e+06
P48163	MAOX_HUMAN	ME1	NADP-dependent malic enzyme	1.40603e+07
P48200	IREB2_HUMAN	IREB2	Iron-responsive element-binding protein 2	1.85983e+06
P48304	REG1B_HUMAN	REG1B	Lithostathine-1-beta	3.00929e+07
P48426	PI42A_HUMAN	PIP4K2A	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	2.12655e+07
P48436	SOX9_HUMAN	SOX9	Transcription factor SOX-9	1.21651e+06
P48444	COPD_HUMAN	ARCN1	Coatomer subunit delta	4.18092e+07
P48506	GSH1_HUMAN	GCLC	Glutamate--cysteine ligase catalytic subunit	2.60231e+07
P48507	GSH0_HUMAN	GCLM	Glutamate--cysteine ligase regulatory subunit	5.99474e+06
P48539	PCP4_HUMAN	PCP4	Calmodulin regulator protein PCP4	1.76486e+07
P48556	PSMD8_HUMAN	PSMD8	26S proteasome non-ATPase regulatory subunit 8	5.17317e+07
P48595	SPB10_HUMAN	SERPINB10	Serpin B10	3.61302e+06
P48634	PRC2A_HUMAN	PRRC2A	Protein PRRC2A	1.17748e+07
P48637	GSHB_HUMAN	GSS	Glutathione synthetase	5.72099e+07
P48643	TCPE_HUMAN	CCT5	T-complex protein 1 subunit epsilon	2.56941e+08
P48668	K2C6C_HUMAN	KRT6C	Keratin, type II cytoskeletal 6C	3.62278e+06
P48681	NEST_HUMAN	NES	Nestin	7.12493e+06
P48723	HSP13_HUMAN	HSPA13	Heat shock 70 kDa protein 13	3.46034e+06
P48729	KC1A_HUMAN	CSNK1A1	Casein kinase I isoform alpha	2.83343e+07
P48735	IDHP_HUMAN	IDH2	Isocitrate dehydrogenase [NADP], mitochondrial	1.16005e+08
P48739	PIPNB_HUMAN	PITPNB	Phosphatidylinositol transfer protein beta isoform	1.50469e+07
P48960	AGRE5_HUMAN	ADGRE5	Adhesion G protein-coupled receptor E5	1.78802e+07
P49005	DPOD2_HUMAN	POLD2	DNA polymerase delta subunit 2	6.79614e+06
P49006	MRP_HUMAN	MARCKSL1	MARCKS-related protein	6.89285e+07
P49023	PAXI_HUMAN	PXN	Paxillin	1.84983e+07
P49069	CAMLG_HUMAN	CAMLG	Guided entry of tail-anchored proteins factor CAMLG	1.39896e+07
P49137	MAPK2_HUMAN	MAPKAPK2	MAP kinase-activated protein kinase 2	1.05986e+07
P49189	AL9A1_HUMAN	ALDH9A1	4-trimethylaminobutyraldehyde dehydrogenase	8.20672e+07
P49207	RL34_HUMAN	RPL34	Large ribosomal subunit protein eL34	1.15895e+08
P49247	RPIA_HUMAN	RPIA	Ribose-5-phosphate isomerase	1.28295e+07
P49257	LMAN1_HUMAN	LMAN1	Protein ERGIC-53	7.22056e+07
P49321	NASP_HUMAN	NASP	Nuclear autoantigenic sperm protein	2.30962e+08
P49327	FAS_HUMAN	FASN	Fatty acid synthase	3.40275e+07
P49354	FNTA_HUMAN	FNTA	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	6.22205e+06
P49366	DHYS_HUMAN	DHPS	Deoxyhypusine synthase	2.91214e+06
P49368	TCPG_HUMAN	CCT3	T-complex protein 1 subunit gamma	6.68022e+07
P49406	RM19_HUMAN	MRPL19	Large ribosomal subunit protein bL19m	1.54914e+07
P49407	ARRB1_HUMAN	ARRB1	Beta-arrestin-1	2.07086e+07
P49411	EFTU_HUMAN	TUFM	Elongation factor Tu, mitochondrial	1.40683e+08
P49419	AL7A1_HUMAN	ALDH7A1	Alpha-aminoadipic semialdehyde dehydrogenase	4.29001e+07
P49441	INPP_HUMAN	INPP1	Inositol polyphosphate 1-phosphatase	1.60914e+07
P49458	SRP09_HUMAN	SRP9	Signal recognition particle 9 kDa protein	9.2897e+07
P49585	PCY1A_HUMAN	PCYT1A	Choline-phosphate cytidylyltransferase A	8.89513e+06
P49588	SYAC_HUMAN	AARS1	Alanine--tRNA ligase, cytoplasmic	6.83175e+07
P49589	SYCC_HUMAN	CARS1	Cysteine--tRNA ligase, cytoplasmic	3.67697e+07
P49591	SYSC_HUMAN	SARS1	Serine--tRNA ligase, cytoplasmic	4.67981e+07
P49593	PPM1F_HUMAN	PPM1F	Protein phosphatase 1F	8.39209e+06
P49662	CASP4_HUMAN	CASP4	Caspase-4	3.13409e+06
P49674	KC1E_HUMAN	CSNK1E	Casein kinase I isoform epsilon	765904
P49720	PSB3_HUMAN	PSMB3	Proteasome subunit beta type-3	2.1112e+07
P49721	PSB2_HUMAN	PSMB2	Proteasome subunit beta type-2	4.71763e+07
P49736	MCM2_HUMAN	MCM2	DNA replication licensing factor MCM2	5.06746e+07
P49748	ACADV_HUMAN	ACADVL	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	4.52669e+07
P49750	YLPM1_HUMAN	YLPM1	YLP motif-containing protein 1	1.87283e+07
P49755	TMEDA_HUMAN	TMED10	Transmembrane emp24 domain-containing protein 10	9.92275e+07
P49756	RBM25_HUMAN	RBM25	RNA-binding protein 25	2.6933e+07
P49757	NUMB_HUMAN	NUMB	Protein numb homolog	1.40133e+07
P49770	EI2BB_HUMAN	EIF2B2	Translation initiation factor eIF-2B subunit beta	3.63283e+06
P49773	HINT1_HUMAN	HINT1	Adenosine 5'-monophosphoramidase HINT1	4.03235e+08
P49790	NU153_HUMAN	NUP153	Nuclear pore complex protein Nup153	2.58258e+07
P49792	RBP2_HUMAN	RANBP2	E3 SUMO-protein ligase RanBP2	1.47888e+07
P49815	TSC2_HUMAN	TSC2	Tuberin	2.55921e+06
P49821	NDUV1_HUMAN	NDUFV1	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial	4.34844e+07
P49840	GSK3A_HUMAN	GSK3A	Glycogen synthase kinase-3 alpha	1.11942e+07
P49841	GSK3B_HUMAN	GSK3B	Glycogen synthase kinase-3 beta	8.24604e+06
P49848	TAF6_HUMAN	TAF6	Transcription initiation factor TFIID subunit 6	1.21447e+06
P49903	SPS1_HUMAN	SEPHS1	Selenide, water dikinase 1	2.18495e+07
P49913	CAMP_HUMAN	CAMP	Cathelicidin antimicrobial peptide	2.63743e+07
P49915	GUAA_HUMAN	GMPS	GMP synthase [glutamine-hydrolyzing]	3.19343e+07
P49916	DNLI3_HUMAN	LIG3	DNA ligase 3	6.83124e+06
P49959	MRE11_HUMAN	MRE11	Double-strand break repair protein MRE11	2.12425e+07
P49961	ENTP1_HUMAN	ENTPD1	Ectonucleoside triphosphate diphosphohydrolase 1	7.1834e+06
P50213	IDH3A_HUMAN	IDH3A	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	4.79004e+07
P50225	ST1A1_HUMAN	SULT1A1	Sulfotransferase 1A1	7.46696e+07
P50238	CRIP1_HUMAN	CRIP1	Cysteine-rich protein 1	3.22027e+08
P50281	MMP14_HUMAN	MMP14	Matrix metalloproteinase-14	2.44659e+06
P50395	GDIB_HUMAN	GDI2	Rab GDP dissociation inhibitor beta	2.16476e+08
P50402	EMD_HUMAN	EMD	Emerin	3.38936e+07
P50416	CPT1A_HUMAN	CPT1A	Carnitine O-palmitoyltransferase 1, liver isoform	1.96256e+07
P50452	SPB8_HUMAN	SERPINB8	Serpin B8	4.23207e+06
P50453	SPB9_HUMAN	SERPINB9	Serpin B9	9.38677e+06
P50454	SERPH_HUMAN	SERPINH1	Serpin H1	1.27572e+08
P50479	PDLI4_HUMAN	PDLIM4	PDZ and LIM domain protein 4	1.28288e+08
P50502	F10A1_HUMAN	ST13	Hsc70-interacting protein	1.16208e+08
P50552	VASP_HUMAN	VASP	Vasodilator-stimulated phosphoprotein	7.42461e+07
P50570	DYN2_HUMAN	DNM2	Dynamin-2	4.26847e+07
P50579	MAP2_HUMAN	METAP2	Methionine aminopeptidase 2	1.25704e+07
P50583	AP4A_HUMAN	NUDT2	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]	1.89476e+06
P50750	CDK9_HUMAN	CDK9	Cyclin-dependent kinase 9	1.24815e+06
P50851	LRBA_HUMAN	LRBA	Lipopolysaccharide-responsive and beige-like anchor protein	7.27286e+06
P50895	BCAM_HUMAN	BCAM	Basal cell adhesion molecule	7.94519e+06
P50897	PPT1_HUMAN	PPT1	Palmitoyl-protein thioesterase 1	4.35689e+07
P50914	RL14_HUMAN	RPL14	Large ribosomal subunit protein eL14	2.59574e+07
P50990	TCPQ_HUMAN	CCT8	T-complex protein 1 subunit theta	1.09035e+08
P50991	TCPD_HUMAN	CCT4	T-complex protein 1 subunit delta	9.64406e+07
P50995	ANX11_HUMAN	ANXA11	Annexin A11	8.18918e+07
P51003	PAPOA_HUMAN	PAPOLA	Poly(A) polymerase alpha	9.68261e+06
P51114	FXR1_HUMAN	FXR1	RNA-binding protein FXR1	9.07694e+06
P51148	RAB5C_HUMAN	RAB5C	Ras-related protein Rab-5C	7.1002e+07
P51149	RAB7A_HUMAN	RAB7A	Ras-related protein Rab-7a	9.79195e+07
P51151	RAB9A_HUMAN	RAB9A	Ras-related protein Rab-9A	3.98281e+06
P51153	RAB13_HUMAN	RAB13	Ras-related protein Rab-13	1.63711e+07
P51159	RB27A_HUMAN	RAB27A	Ras-related protein Rab-27A	1.13294e+07
P51161	FABP6_HUMAN	FABP6	Gastrotropin	1.30413e+07
P51178	PLCD1_HUMAN	PLCD1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1	3.97887e+06
P51398	RT29_HUMAN	DAP3	Small ribosomal subunit protein mS29	1.91771e+07
P51452	DUS3_HUMAN	DUSP3	Dual specificity protein phosphatase 3	6.56855e+07
P51531	SMCA2_HUMAN	SMARCA2	Probable global transcription activator SNF2L2	2.47174e+07
P51532	SMCA4_HUMAN	SMARCA4	Transcription activator BRG1	5.48919e+06
P51570	GALK1_HUMAN	GALK1	Galactokinase	1.80795e+07
P51571	SSRD_HUMAN	SSR4	Translocon-associated protein subunit delta	5.1805e+07
P51572	BAP31_HUMAN	BCAP31	B-cell receptor-associated protein 31	9.36554e+07
P51580	TPMT_HUMAN	TPMT	Thiopurine S-methyltransferase	3.08223e+07
P51606	RENBP_HUMAN	RENBP	N-acylglucosamine 2-epimerase	6.58992e+07
P51608	MECP2_HUMAN	MECP2	Methyl-CpG-binding protein 2	2.26936e+07
P51610	HCFC1_HUMAN	HCFC1	Host cell factor 1	1.36148e+07
P51617	IRAK1_HUMAN	IRAK1	Interleukin-1 receptor-associated kinase 1	2.09861e+06
P51648	AL3A2_HUMAN	ALDH3A2	Aldehyde dehydrogenase family 3 member A2	1.58882e+07
P51649	SSDH_HUMAN	ALDH5A1	Succinate-semialdehyde dehydrogenase, mitochondrial	704361
P51659	DHB4_HUMAN	HSD17B4	Peroxisomal multifunctional enzyme type 2	3.98296e+07
P51665	PSMD7_HUMAN	PSMD7	26S proteasome non-ATPase regulatory subunit 7	3.63294e+07
P51688	SPHM_HUMAN	SGSH	N-sulphoglucosamine sulphohydrolase	2.8587e+07
P51692	STA5B_HUMAN	STAT5B	Signal transducer and activator of transcription 5B	1.32805e+07
P51809	VAMP7_HUMAN	VAMP7	Vesicle-associated membrane protein 7	1.76195e+07
P51812	KS6A3_HUMAN	RPS6KA3	Ribosomal protein S6 kinase alpha-3	1.42986e+07
P51858	HDGF_HUMAN	HDGF	Hepatoma-derived growth factor	1.37271e+08
P51884	LUM_HUMAN	LUM	Lumican	4.48326e+08
P51888	PRELP_HUMAN	PRELP	Prolargin	1.33858e+08
P51911	CNN1_HUMAN	CNN1	Calponin-1	4.2336e+09
P51970	NDUA8_HUMAN	NDUFA8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	1.10643e+07
P51991	ROA3_HUMAN	HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3	4.15085e+08
P52209	6PGD_HUMAN	PGD	6-phosphogluconate dehydrogenase, decarboxylating	1.40316e+08
P52272	HNRPM_HUMAN	HNRNPM	Heterogeneous nuclear ribonucleoprotein M	6.7818e+08
P52292	IMA1_HUMAN	KPNA2	Importin subunit alpha-1	2.40121e+07
P52294	IMA5_HUMAN	KPNA1	Importin subunit alpha-5	3.42851e+07
P52298	NCBP2_HUMAN	NCBP2	Nuclear cap-binding protein subunit 2	4.95632e+06
P52306	GDS1_HUMAN	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	1.7388e+07
P52434	RPAB3_HUMAN	POLR2H	DNA-directed RNA polymerases I, II, and III subunit RPABC3	6.97428e+06
P52565	GDIR1_HUMAN	ARHGDIA	Rho GDP-dissociation inhibitor 1	1.3405e+08
P52566	GDIR2_HUMAN	ARHGDIB	Rho GDP-dissociation inhibitor 2	5.35868e+07
P52594	AGFG1_HUMAN	AGFG1	Arf-GAP domain and FG repeat-containing protein 1	1.74781e+07
P52597	HNRPF_HUMAN	HNRNPF	Heterogeneous nuclear ribonucleoprotein F	1.96064e+08
P52655	TF2AA_HUMAN	GTF2A1	Transcription initiation factor IIA subunit 1	996912
P52701	MSH6_HUMAN	MSH6	DNA mismatch repair protein Msh6	2.02867e+07
P52788	SPSY_HUMAN	SMS	Spermine synthase	2.94287e+07
P52789	HXK2_HUMAN	HK2	Hexokinase-2	2.37495e+06
P52790	HXK3_HUMAN	HK3	Hexokinase-3	2.22181e+06
P52815	RM12_HUMAN	MRPL12	Large ribosomal subunit protein bL12m	2.96349e+07
P52888	THOP1_HUMAN	THOP1	Thimet oligopeptidase	1.76497e+07
P52895	AK1C2_HUMAN	AKR1C2	Aldo-keto reductase family 1 member C2	4.16488e+06
P52907	CAZA1_HUMAN	CAPZA1	F-actin-capping protein subunit alpha-1	9.0969e+07
P52943	CRIP2_HUMAN	CRIP2	Cysteine-rich protein 2	1.4429e+08
P52948	NUP98_HUMAN	NUP98	Nuclear pore complex protein Nup98-Nup96	3.1659e+07
P53004	BIEA_HUMAN	BLVRA	Biliverdin reductase A	2.99092e+07
P53041	PPP5_HUMAN	PPP5C	Serine/threonine-protein phosphatase 5	1.72246e+07
P53367	ARFP1_HUMAN	ARFIP1	Arfaptin-1	3.90668e+07
P53396	ACLY_HUMAN	ACLY	ATP-citrate synthase	4.25784e+07
P53582	MAP11_HUMAN	METAP1	Methionine aminopeptidase 1	1.07734e+07
P53597	SUCA_HUMAN	SUCLG1	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	4.63757e+07
P53602	MVD1_HUMAN	MVD	Diphosphomevalonate decarboxylase	5.99085e+07
P53611	PGTB2_HUMAN	RABGGTB	Geranylgeranyl transferase type-2 subunit beta	1.07359e+07
P53618	COPB_HUMAN	COPB1	Coatomer subunit beta	3.74642e+07
P53621	COPA_HUMAN	COPA	Coatomer subunit alpha	5.82034e+07
P53634	CATC_HUMAN	CTSC	Dipeptidyl peptidase 1	2.43102e+07
P53677	AP3M2_HUMAN	AP3M2	AP-3 complex subunit mu-2	6.52245e+06
P53680	AP2S1_HUMAN	AP2S1	AP-2 complex subunit sigma	1.09014e+07
P53708	ITA8_HUMAN	ITGA8	Integrin alpha-8	6.84683e+07
P53814	SMTN_HUMAN	SMTN	Smoothelin	2.30735e+08
P53990	IST1_HUMAN	IST1	IST1 homolog	3.43966e+07
P53992	SC24C_HUMAN	SEC24C	Protein transport protein Sec24C	1.26546e+07
P53999	TCP4_HUMAN	SUB1	Activated RNA polymerase II transcriptional coactivator p15	1.6958e+08
P54105	ICLN_HUMAN	CLNS1A	Methylosome subunit pICln	2.62872e+07
P54136	SYRC_HUMAN	RARS1	Arginine--tRNA ligase, cytoplasmic	4.2434e+07
P54252	ATX3_HUMAN	ATXN3	Ataxin-3	7.11222e+06
P54289	CA2D1_HUMAN	CACNA2D1	Voltage-dependent calcium channel subunit alpha-2/delta-1	7.18846e+07
P54577	SYYC_HUMAN	YARS1	Tyrosine--tRNA ligase, cytoplasmic	4.04701e+07
P54578	UBP14_HUMAN	USP14	Ubiquitin carboxyl-terminal hydrolase 14	1.76493e+07
P54619	AAKG1_HUMAN	PRKAG1	5'-AMP-activated protein kinase subunit gamma-1	7.35833e+06
P54652	HSP72_HUMAN	HSPA2	Heat shock-related 70 kDa protein 2	4.61815e+07
P54725	RD23A_HUMAN	RAD23A	UV excision repair protein RAD23 homolog A	1.61897e+07
P54727	RD23B_HUMAN	RAD23B	UV excision repair protein RAD23 homolog B	5.17504e+07
P54753;P54762;P54764;Q9UF33	EPHA4_HUMAN;EPHA6_HUMAN;EPHB1_HUMAN;EPHB3_HUMAN	EPHA4;EPHA6;EPHB1;EPHB3	Ephrin type-B receptor 3	6.86638e+06
P54802	ANAG_HUMAN	NAGLU	Alpha-N-acetylglucosaminidase	4.21172e+06
P54803	GALC_HUMAN	GALC	Galactocerebrosidase	1.06663e+07
P54819	KAD2_HUMAN	AK2	Adenylate kinase 2, mitochondrial	4.94349e+07
P54868	HMCS2_HUMAN	HMGCS2	Hydroxymethylglutaryl-CoA synthase, mitochondrial	3.52984e+07
P54886	P5CS_HUMAN	ALDH18A1	Delta-1-pyrroline-5-carboxylate synthase	1.21001e+07
P54920	SNAA_HUMAN	NAPA	Alpha-soluble NSF attachment protein	4.23392e+07
P55008	AIF1_HUMAN	AIF1	Allograft inflammatory factor 1	2.76116e+07
P55010	IF5_HUMAN	EIF5	Eukaryotic translation initiation factor 5	7.08618e+07
P55011	S12A2_HUMAN	SLC12A2	Solute carrier family 12 member 2	8.89671e+07
P55036	PSMD4_HUMAN	PSMD4	26S proteasome non-ATPase regulatory subunit 4	4.59736e+07
P55039	DRG2_HUMAN	DRG2	Developmentally-regulated GTP-binding protein 2	4.55917e+06
P55042	RAD_HUMAN	RRAD	GTP-binding protein RAD	7.28403e+06
P55060	XPO2_HUMAN	CSE1L	Exportin-2	3.57738e+07
P55061	BI1_HUMAN	TMBIM6	Bax inhibitor 1	6.00861e+06
P55072	TERA_HUMAN	VCP	Transitional endoplasmic reticulum ATPase	1.58337e+08
P55081	MFAP1_HUMAN	MFAP1	Microfibrillar-associated protein 1	1.73204e+07
P55083	MFAP4_HUMAN	MFAP4	Microfibril-associated glycoprotein 4	1.75512e+08
P55084	ECHB_HUMAN	HADHB	Trifunctional enzyme subunit beta, mitochondrial	6.40384e+07
P55145	MANF_HUMAN	MANF	Mesencephalic astrocyte-derived neurotrophic factor	1.73965e+07
P55196	AFAD_HUMAN	AFDN	Afadin	9.94228e+06
P55209	NP1L1_HUMAN	NAP1L1	Nucleosome assembly protein 1-like 1	4.80922e+07
P55210	CASP7_HUMAN	CASP7	Caspase-7	6.49626e+06
P55259	GP2_HUMAN	GP2	Pancreatic secretory granule membrane major glycoprotein GP2	1.23564e+07
P55263	ADK_HUMAN	ADK	Adenosine kinase	1.59021e+07
P55265	DSRAD_HUMAN	ADAR	Double-stranded RNA-specific adenosine deaminase	3.40009e+07
P55268	LAMB2_HUMAN	LAMB2	Laminin subunit beta-2	2.35117e+08
P55290	CAD13_HUMAN	CDH13	Cadherin-13	7.73519e+06
